sensor_id,lat,lon,pressure,temperature,humidity
4358,42.703,23.373,95526.28,23.53,55.45
3620,42.678,23.254,94859.12,34.15,39.89
2262,42.691,23.324,94325.77,19.3,75.05
3738,42.7,23.332,95508.42,29.31,41.93
3512,42.683,23.335,95288.53,41.99,21.04
2607,42.66,23.319,94386.3,29.42,43.33
3432,42.71,23.419,95989.22,30.23,25.1
3472,42.669,23.318,94928.13,22.26,54.82
3836,42.702,23.371,95752.4,19.46,68.75
3982,42.654,23.33,94874.81,23.83,0.0
3432,42.71,23.419,95773.5,25.43,56.3
3836,42.702,23.371,94582.05,19.82,84.97
4475,42.654,23.316,93680.61,18.75,78.06
3500,42.703,23.349,95052.06,41.94,13.88
2036,42.657,23.349,95011.25,14.33,87.42
1850,42.677,23.311,95573.5,23.86,50.66
2294,42.645,23.265,92959.59,18.64,69.71
2230,42.692,23.332,95527.16,26.94,39.7
3428,42.624,23.406,94353.92,38.47,19.04
3738,42.7,23.332,95507.88,21.17,56.63
1954,42.704,23.354,95232.35,38.24,27.44
3500,42.703,23.349,95390.56,20.45,72.73
4475,42.654,23.316,94713.98,18.09,66.05
3102,42.665,23.392,95641.36,36.39,25.02
3436,42.693,23.359,95241.61,29.69,33.59
3982,42.654,23.33,94467.29,24.02,0.0
4471,42.698,23.291,95531.64,25.7,47.81
2232,42.685,23.301,94317.02,34.23,36.29
2292,42.663,23.273,94445.6,32.74,26.03
1764,42.622,23.366,93759.64,25.82,43.49
2323,42.686,23.4,95367.87,20.05,59.26
3436,42.693,23.359,95473.31,26.34,30.91
3836,42.702,23.371,95083.91,26.62,52.09
2607,42.66,23.319,94737.71,28.94,39.57
2264,42.671,23.31,95044.48,33.89,35.08
1962,42.69,23.324,94817.78,32.49,28.09
1954,42.704,23.354,94720.77,19.13,73.86
3096,42.7,23.36,94145.52,29.88,43.58
3096,42.7,23.36,95451.05,27.31,54.97
1962,42.69,23.324,95441.61,21.24,67.66
1850,42.677,23.311,95262.36,16.22,81.68
2294,42.645,23.265,92940.32,24.1,54.98
2262,42.691,23.324,95272.22,20.88,62.27
2038,42.694,23.32,95371.14,25.54,48.09
3474,42.68,23.293,94705.63,18.27,81.67
1846,42.64,23.31,93527.0,39.44,22.4
3096,42.7,23.36,94479.12,27.17,51.28
2228,42.693,23.333,95673.92,18.69,67.39
3436,42.693,23.359,95681.25,19.53,70.07
2036,42.657,23.349,95026.42,31.08,27.65
3500,42.703,23.349,95680.84,27.38,37.52
4471,42.698,23.291,94735.45,18.52,58.53
3500,42.703,23.349,94733.87,38.26,19.85
3428,42.624,23.406,94746.84,24.53,59.96
2036,42.657,23.349,95284.97,16.11,90.95
3620,42.678,23.254,94945.78,22.64,64.56
2228,42.693,23.333,95381.2,22.43,55.54
3428,42.624,23.406,94183.48,23.93,52.67
3512,42.683,23.335,94637.93,22.46,65.57
2266,42.738,23.272,95763.53,24.73,52.65
2224,42.651,23.335,94205.48,27.35,35.06
1962,42.69,23.324,95431.97,33.16,23.45
2232,42.685,23.301,95331.56,24.14,52.22
3982,42.654,23.33,93887.35,20.55,0.0
2224,42.651,23.335,94789.19,21.73,50.66
3092,42.666,23.284,94165.75,18.47,0.0
3432,42.71,23.419,95665.22,19.7,78.04
3500,42.703,23.349,95327.91,37.07,23.55
3500,42.703,23.349,95224.59,20.08,52.14
2294,42.645,23.265,92924.45,17.19,55.34
3512,42.683,23.335,95463.06,41.05,21.76
1850,42.677,23.311,93787.53,28.97,50.54
3512,42.683,23.335,94389.92,32.89,30.64
2216,42.664,23.373,95285.72,31.18,30.92
2036,42.657,23.349,95061.14,31.7,27.75
2234,42.685,23.356,95486.31,20.17,54.96
3836,42.702,23.371,95630.62,17.1,85.06
1764,42.622,23.366,94116.53,26.7,49.35
3836,42.702,23.371,95267.01,24.33,60.98
2294,42.645,23.265,92554.16,27.47,49.0
3836,42.702,23.371,95857.7,24.76,49.31
1954,42.704,23.354,95318.08,26.26,53.86
1846,42.64,23.31,92993.05,25.06,56.7
3432,42.71,23.419,95538.75,23.48,62.13
2234,42.685,23.356,94267.97,17.88,81.76
2036,42.657,23.349,94524.78,20.39,70.54
3982,42.654,23.33,94926.45,20.74,0.0
3102,42.665,23.392,94438.09,20.82,73.55
3432,42.71,23.419,95409.59,23.79,46.72
2230,42.692,23.332,95348.79,30.54,42.34
4467,42.665,23.278,93629.27,25.09,51.23
3836,42.702,23.371,95232.48,19.84,57.26
3620,42.678,23.254,93573.52,26.67,51.31
2323,42.686,23.4,95545.67,25.95,49.23
2292,42.663,23.273,94775.88,15.04,77.84
